epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1622,1.04321,3.35377,1.3941,0.75075,0.81522,0.82791,0.6428,0.7125,2.63529,1.20636,0.00018,0.00018,0.00018
2,23.7935,0.84269,1.2725,1.19781,0.97586,0.77174,0.89058,0.7167,0.73466,1.72715,1.14791,0.00037373,0.00037373,0.00037373
3,27.4779,0.75985,0.86809,1.1212,0.87949,0.67426,0.80103,0.629,0.86173,1.81222,1.22793,0.00056086,0.00056086,0.00056086
4,31.109,0.75755,0.77598,1.11558,0.87295,0.74457,0.86009,0.64409,0.91571,1.80199,1.27597,0.00074139,0.00074139,0.00074139
5,35.1557,0.81148,0.77705,1.15201,0.40338,0.47826,0.2801,0.14468,1.88668,2.66088,2.3706,0.00091532,0.00091532,0.00091532
6,39.0568,0.86909,0.79174,1.16066,0.11887,0.29891,0.07581,0.03414,2.25727,2.86197,2.83795,0.00108265,0.00108265,0.00108265
7,42.6014,0.79023,0.68149,1.12908,0.74735,0.58696,0.65103,0.4057,1.43952,1.62632,1.97799,0.00124338,0.00124338,0.00124338
8,46.0978,0.81444,0.68498,1.14975,0.61305,0.5683,0.61766,0.40265,1.47421,2.48023,1.94061,0.00139751,0.00139751,0.00139751
9,50.5003,0.81814,0.70474,1.15714,0.82087,0.70109,0.76242,0.53904,1.18361,1.57292,1.57874,0.00154504,0.00154504,0.00154504
10,53.9991,0.79047,0.68463,1.13111,0.73713,0.74457,0.77472,0.54259,1.13939,2.94191,1.60607,0.00168597,0.00168597,0.00168597
11,57.4635,0.76034,0.62596,1.10563,0.77247,0.67391,0.77793,0.57142,0.92632,2.81343,1.3131,0.00167,0.00167,0.00167
12,61.912,0.71619,0.61013,1.0953,0.82892,0.65761,0.79075,0.62725,0.85902,2.10422,1.23132,0.001637,0.001637,0.001637
13,65.4192,0.75651,0.62905,1.12045,0.61331,0.58152,0.63672,0.48631,0.96325,2.18363,1.30167,0.001604,0.001604,0.001604
14,68.9015,0.68688,0.58498,1.09251,0.74424,0.61677,0.72115,0.56225,0.88501,1.4972,1.24412,0.001571,0.001571,0.001571
15,72.4891,0.73977,0.58493,1.10387,0.7529,0.69022,0.70809,0.55029,0.89248,1.20265,1.24774,0.001538,0.001538,0.001538
16,76.559,0.68391,0.58117,1.08403,0.86199,0.78076,0.86575,0.70415,0.7879,1.09347,1.18321,0.001505,0.001505,0.001505
17,80.0368,0.66678,0.5525,1.07237,0.91973,0.74731,0.86975,0.68489,0.86336,1.17601,1.23357,0.001472,0.001472,0.001472
18,83.5461,0.68648,0.57091,1.0858,0.83912,0.72826,0.83862,0.64326,0.93871,1.55058,1.28741,0.001439,0.001439,0.001439
19,87.8208,0.64888,0.54755,1.06364,0.86829,0.83152,0.90075,0.73767,0.71349,0.88824,1.12445,0.001406,0.001406,0.001406
20,91.3885,0.65738,0.56251,1.07884,0.93314,0.83436,0.93393,0.77357,0.69195,0.82234,1.10919,0.001373,0.001373,0.001373
21,94.9325,0.64261,0.53583,1.05952,0.87019,0.87438,0.92745,0.75942,0.66448,0.68939,1.07968,0.00134,0.00134,0.00134
22,98.7862,0.61198,0.52069,1.05547,0.89368,0.81522,0.89452,0.73335,0.72081,1.06196,1.12576,0.001307,0.001307,0.001307
23,102.643,0.63384,0.51218,1.05712,0.9463,0.862,0.93621,0.79243,0.59623,0.53511,1.02117,0.001274,0.001274,0.001274
24,106.234,0.61418,0.48868,1.04824,0.93667,0.89674,0.95124,0.82139,0.56817,0.49731,1.00678,0.001241,0.001241,0.001241
25,109.799,0.6541,0.52849,1.08704,0.98417,0.85326,0.95047,0.8184,0.58939,0.51467,1.02463,0.001208,0.001208,0.001208
26,114.154,0.60025,0.49362,1.03736,0.93812,0.90636,0.94976,0.80066,0.60929,0.48966,1.01903,0.001175,0.001175,0.001175
27,117.621,0.61689,0.49544,1.03555,0.97705,0.88043,0.94904,0.81888,0.58735,0.44923,1.02854,0.001142,0.001142,0.001142
28,121.146,0.589,0.48374,1.04847,0.947,0.8913,0.95015,0.808,0.6123,0.46312,1.02056,0.001109,0.001109,0.001109
29,125.302,0.58585,0.48166,1.02554,0.95752,0.85751,0.94647,0.81077,0.56553,0.50027,1.00466,0.001076,0.001076,0.001076
30,129.014,0.59287,0.48066,1.03501,0.93741,0.89536,0.94959,0.79745,0.62935,0.53961,1.05081,0.001043,0.001043,0.001043
31,132.449,0.57651,0.46775,1.02556,0.89572,0.8913,0.94208,0.80423,0.59364,0.50817,1.0266,0.00101,0.00101,0.00101
32,136.018,0.58772,0.46741,1.03646,0.97008,0.88108,0.95714,0.82106,0.59063,0.42691,1.03266,0.000977,0.000977,0.000977
33,140.184,0.55644,0.45529,1.00938,0.9762,0.8917,0.96023,0.83926,0.54784,0.39874,1.02101,0.000944,0.000944,0.000944
